ap_id,link,nome,bairro,algl,condo,m2tot,m2util,qts,banhs,mini_desc,desc
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
2965191306,https://www.wimoveis.com.br/propriedades/1-quarto-com-varanda-green-park-2965191306.html,Rua 20 1,"Aguas Norte, Águas Claras",R$ 1.200,R$ 387 Condominio,34 m²,34 m²,1 quartos,1 banheiro,1 Quarto Com Varanda Green Park,"Quitado, escriturado pronto para financiamento! Apartamento 1 quarto, sala, cozinha, banheiro e varanda em uma das melhores localizações de Águas Claras, Edf. Green Park. ao lado da estação Aguas Claras, e de frente para faculdade Uniplan. Imóvel encontra-se desocupado. Super bem dividido. Local ótimo. Condomínio com academia bem montada. Churrasqueiras cobertas com Ducha e ótimo espaço gourmet. Sauna. Salão de festas. Condomínio portaria 24 h. Super bem cuidado. Condomínio 387, 00 já incluso água e gás. Obs: Os valores podem sofrer alterações, sendo assim deverão ser confirmados pelo interessado junto à administradora do condomínio. Ligue a agende sua visita: (61) Ver dados (61) Ver dados. (61) 9 Ver dados Rodrigo Emanuel Creci df 27. 816. (61) 9 Ver dados Túlio Rios Creci-df 22. 578. ""O seu espaço, do seu jeito"" - 09/02/2023"
